index,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Lampanyctus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__personatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trichodontidae;g__Trichodon;s__trichodon,k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Bathymasteridae;g__Bathymaster;s__signatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Aulopiformes;f__Notosudidae;g__Scopelosaurus;s__harryi,k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus,k__Metazoa;p__Chordata;c__Actinopteri;o__Beryciformes;f__Melamphaidae;g__Poromitra;s__crassiceps,k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Oncorhynchus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cryptacanthodidae;g__Cryptacanthodes;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Sebastidae;g__Sebastes;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Lycodapus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Hemilepidotus;s__hemilepidotus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Stichaeidae;g__Leptoclinus;s__maculatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Jordaniidae;g__Jordania;s__zonope,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Stichaeidae;g__Anoplarchus;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Anoplopomatidae;g__Anoplopoma;s__fimbria,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Artedius;s__harringtoni,k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Atheresthes;s__stomias,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Clinocottus;s__acuticeps,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Salmo;s__salar,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Rhamphocottidae;g__Rhamphocottus;s__richardsonii,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Ophiodon;s__elongatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__;s__,k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Icichthys;s__lockingtoni,k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Diaphus;s__theta,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Enophrys;s__bison,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Liparidae;g__Liparis;s__florae,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Agonidae;g__Nautichthys;s__oculofasciatus,k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Liparidae;g__Liparis;s__greeni,Species,Colony,Age,Year,Type,Plate
BLKI-MID-AD-2024-1,598,757,0,2500,0,0,0,0,0,68,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-10,0,0,0,400,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-11,160590,6429,54,4349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-13,31454,0,0,236875,0,0,0,0,0,0,74019,0,0,0,0,29317,0,0,1331,0,0,0,46,0,7762,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-14,333,0,0,108650,0,0,0,0,0,0,389,0,0,0,0,7002,0,0,15,0,0,0,7,0,103,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-15,0,0,0,98,0,0,0,0,0,0,0,0,63877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-17,258,1409,0,1155,0,197,0,0,0,0,0,0,9950,0,0,466,0,0,752,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-2,237,0,0,189,0,283,0,0,0,3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-20,0,478,0,772,0,0,0,0,0,0,577,0,47946,0,0,10876,0,0,693,0,0,0,0,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-21,0,218,0,89,0,497,0,0,0,0,0,0,2535,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-23,0,3188,0,16,0,24801,0,0,0,0,0,0,13957,0,0,0,17,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-24,0,1289,0,0,0,313,0,0,0,716,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-25,0,0,0,0,0,3674,0,0,0,0,2525,0,326,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-26,0,2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-27,0,8251,0,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-28,0,5395,0,0,0,6469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-290,0,209,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,102
BLKI-MID-AD-2024-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-30,0,175,0,0,391,256,0,0,0,14748,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-31,0,1270,0,0,0,0,0,0,0,0,0,0,0,109075,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-32,0,15,66,188051,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-33,0,2268,0,0,0,33560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-34,0,0,0,0,0,43990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-35,0,659,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-36,0,221,0,461,0,8789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-37,0,622,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-39,0,0,0,102373,0,0,0,0,0,0,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-4,0,250608,0,0,78,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-40,0,968,0,5823,0,509,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-41,0,127575,0,0,0,182687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-42,0,0,0,0,327,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-43,0,84203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-44,0,43540,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-45,0,160791,0,0,0,19,0,0,0,0,0,0,0,0,0,0,107181,0,0,0,0,13,60,0,17189,0,0,0,0,136,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-46,0,45069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-47,0,64678,3694,0,936,15509,0,0,0,72454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-48,0,1508,0,0,0,986,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-49,0,8835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-5,0,856,0,0,0,0,0,0,0,0,0,0,21085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-50,0,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-51,0,16451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-52,0,192447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8980,0,0,49440,0,16,0,0,0,0,0,0,0,0,0,0,2608,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-53,0,224015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-54,0,172623,0,0,0,169,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-55,0,8954,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-56,0,263771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-57,0,189612,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-58,10339,13,12,149333,0,0,0,0,0,0,0,108035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-59,0,265248,55,0,181,356,0,0,0,0,0,0,0,0,0,0,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,100
BLKI-MID-AD-2024-6,0,339400,0,0,0,6610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-60,13398,44840,14051,0,0,0,0,0,11040,0,0,8,0,0,0,0,235,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-61,25514,0,0,50751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-62,10,57,4331,0,0,0,799,0,2269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-63,0,154488,6076,0,0,129,0,0,919,0,0,0,0,0,0,0,2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-64,52090,2426,67129,14366,0,0,0,0,57023,0,0,0,0,0,0,0,0,0,10,0,0,0,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-65,238,95366,579,130745,241,0,0,0,1066,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-66,0,6084,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-67,0,94280,1349,0,691,0,0,0,8415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-68,0,64317,391,0,182,208,0,0,362,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-69,0,86479,192,0,0,65220,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-7,0,455,0,222151,0,56,0,0,0,0,0,0,0,511,0,4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,99
BLKI-MID-AD-2024-70,0,80229,0,226,58,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-71,0,14136,3330,0,0,8,0,0,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,7,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-72,0,37841,1248,0,0,981,0,0,9690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-73,0,162986,598,0,0,553,0,0,61,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-74,0,54242,111,0,62,84729,0,0,59705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
BLKI-MID-AD-2024-75,4094,0,0,60585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BLKI,MID,AD,2024,SAMPLE,101
